id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1588349242305032192,"1) Alright alright, Coinbase 2022Q3 earnings:

https://t.co/aoE8f1XuJV

previous: https://t.co/LtSROD69kB",https://x.com/SBF_FTX/status/1588349242305032192,tweet,SBF,@SBF_FTX,58,21,23,248,-,35,2022-11-04 07:25:44,,
1588344659994374149,@HsakaTrades workin on it...,https://x.com/SBF_FTX/status/1588344659994374149,tweet,SBF,@SBF_FTX,15,0,0,151,-,1,2022-11-04 07:07:31,,
1588343796588314624,welcome!,https://x.com/SBF_FTX/status/1588343796588314624,tweet,SBF,@SBF_FTX,49,8,17,215,-,3,2022-11-04 07:04:05,,
1588302162169581568,"@Lolpual1 @BanklessHQ I totally haven't given up yet!

I'm just preemptively putting that there because if I don't people will say ""oooh but what about when you were asked about strategic tradeoffs""?

And because, frankly, I think it's important, rhetorically (though I could be wrong!)",https://x.com/SBF_FTX/status/1588302162169581568,tweet,SBF,@SBF_FTX,6,0,0,5,-,0,2022-11-04 04:18:39,,
1588296869611941889,"@Lolpual1 @BanklessHQ yeah totally agree--we should keep fighting for it

FWIW I do think that regulation can help that fight *to the extent that it provides oversight of centralized exchanges while not interfering with DeFi*, taking some heat off of the rest of the space

But depends on details",https://x.com/SBF_FTX/status/1588296869611941889,tweet,SBF,@SBF_FTX,3,1,0,4,-,0,2022-11-04 03:57:37,,
1588296455260934144,"@SirZacc @KelseyTuoc working on it!

at the end of the day that's a question for the CFTC but we've put together a margin amendment we're proud of",https://x.com/SBF_FTX/status/1588296455260934144,tweet,SBF,@SBF_FTX,6,0,0,4,-,0,2022-11-04 03:55:58,,
1588295815348785156,@RNR_0 hm yeah good question @elonmusk how much would someone have to pay per month to get out of all other monetization/have their data be private/not see any ads?,https://x.com/SBF_FTX/status/1588295815348785156,tweet,SBF,@SBF_FTX,22,2,7,100,-,2,2022-11-04 03:53:26,,
1588294753472643073,@KelseyTuoc yeah he's had a few warnings but every time we try to reassign him wendy won't stop barking,https://x.com/SBF_FTX/status/1588294753472643073,tweet,SBF,@SBF_FTX,4,0,0,6,-,0,2022-11-04 03:49:12,,
1588294606353207296,"@Lolpual1 @BanklessHQ I would too!  And I would fight against that happening.

There may come a day where we have to make a tough strategic call as a community but I hope it doesn't, and I don't know for sure what the right call there would be.",https://x.com/SBF_FTX/status/1588294606353207296,tweet,SBF,@SBF_FTX,5,0,0,7,-,0,2022-11-04 03:48:37,,
1588294130819555335,or else we hear about it the next morning from wendy https://t.co/CTf2EsRV2C,https://x.com/SBF_FTX/status/1588294130819555335,tweet,SBF,@SBF_FTX,39,7,8,94,-,0,2022-11-04 03:46:44,https://pbs.twimg.com/media/FgrBAyuXgAQ_MFL.jpg,
1588293784068132865,to be fair we have a broad top-down mandate to be positive about gopher when we write about him https://t.co/YaeqshgZhA,https://x.com/SBF_FTX/status/1588293784068132865,tweet,SBF,@SBF_FTX,48,8,7,122,-,2,2022-11-04 03:45:21,https://pbs.twimg.com/media/FgrAuAyXEAE_jK5.jpg,
1588293143375466496,"@BanklessHQ yeah it's a fuckin mess

""please send my money to xyz"", you say

""no thank you"", says your bank

...whose money is it really?",https://x.com/SBF_FTX/status/1588293143375466496,tweet,SBF,@SBF_FTX,12,2,0,46,-,0,2022-11-04 03:42:49,,
1588291904370016256,"website considers charging for services

users are outraged

""but please don't mine our data like Facebook did"", they say

boy are we entitled",https://x.com/SBF_FTX/status/1588291904370016256,tweet,SBF,@SBF_FTX,224,17,112,1404,-,14,2022-11-04 03:37:53,,
1588273481627865088,"Hello, West Africa!

XOF deposits are live.

https://t.co/sXsXgpUE5m https://t.co/cT3Lnp0TNY",https://x.com/SBF_FTX/status/1588273481627865088,tweet,SBF,@SBF_FTX,112,38,62,310,-,2,2022-11-04 02:24:41,https://pbs.twimg.com/media/FgquBUXWYAEILek.jpg,
1588235440481501185,@Orbital_Lexicon ah sorry you are correct good sir,https://x.com/SBF_FTX/status/1588235440481501185,tweet,SBF,@SBF_FTX,11,1,0,29,-,0,2022-11-03 23:53:31,,
1588216679259336705,"@daarfield yeah heh the last text referenced ""this message"" but ""this message"" itself never appeared",https://x.com/SBF_FTX/status/1588216679259336705,tweet,SBF,@SBF_FTX,3,0,0,4,-,0,2022-11-03 22:38:58,,
1588215419760173056,@TajoCrypto yup super excited for Elon to revitalize Twitter; he doesn't need us to do that!,https://x.com/SBF_FTX/status/1588215419760173056,tweet,SBF,@SBF_FTX,4,3,5,13,-,0,2022-11-03 22:33:58,,
1588214937155170305,"@crypto_bitlord7 yeah totally agree

https://t.co/Ko8HMBUkZq",https://x.com/SBF_FTX/status/1588214937155170305,tweet,SBF,@SBF_FTX,4,0,1,15,-,1,2022-11-03 22:32:03,,
1588214839788593152,@daarfield check out https://t.co/Ko8HMBUkZq,https://x.com/SBF_FTX/status/1588214839788593152,tweet,SBF,@SBF_FTX,4,2,0,6,-,2,2022-11-03 22:31:40,,
1588214802538958849,@CAD6119 looking into what we can do there!  tricky regulatory thing,https://x.com/SBF_FTX/status/1588214802538958849,tweet,SBF,@SBF_FTX,4,0,1,10,-,0,2022-11-03 22:31:31,,
1588214348870463489,@crypto_bitlord7 https://t.co/3TDado00ow,https://x.com/SBF_FTX/status/1588214348870463489,tweet,SBF,@SBF_FTX,5,0,1,15,-,0,2022-11-03 22:29:43,,
1588214209829285888,"@davekarpf heh the court records were, for some reason, missing some messages :P",https://x.com/SBF_FTX/status/1588214209829285888,tweet,SBF,@SBF_FTX,20,15,10,59,-,8,2022-11-03 22:29:09,,
1588213358679175173,"2) In some ways it mirrors https://t.co/c1B48cJpql:

a) Twitter needed a revamping of leadership, so Elon did that

b) now Twitter has strong leadership, and we're excited for Elon to execute *his* vision for it",https://x.com/SBF_FTX/status/1588213358679175173,tweet,SBF,@SBF_FTX,28,3,7,88,-,1,2022-11-03 22:25:46,,
1588213357131464704,"1) we passed on Twitter b/c it didn't seem like our strengths were what was needed for Elon's vision for Twitter

(e.g. if he wanted to do blockchain-based social media, or blockchain wallets/payments, we'd have been excited to work on that!

and who knows, maybe he still will)",https://x.com/SBF_FTX/status/1588213357131464704,tweet,SBF,@SBF_FTX,143,47,43,395,-,34,2022-11-03 22:25:46,,
1588184742519705600,@friedmandave @mayazi fwiw we're generally excited to be back-end infrastructure/etc. for things like this,https://x.com/SBF_FTX/status/1588184742519705600,tweet,SBF,@SBF_FTX,3,0,0,5,-,0,2022-11-03 20:32:04,,
1588179537694695426,"@John_CF @LucidCiC &lt;3

yup working on it -- sorry about the delays here!  We know we have to get deposits/withdrawals live soon come rain or shine",https://x.com/SBF_FTX/status/1588179537694695426,tweet,SBF,@SBF_FTX,1,0,0,4,-,0,2022-11-03 20:11:23,,
1587962684779249665,"@cardano_whale @Clintchimera ah yeah sorry I mean ""new"" as in ""not currently on FTX""",https://x.com/SBF_FTX/status/1587962684779249665,tweet,SBF,@SBF_FTX,37,3,4,131,-,0,2022-11-03 05:49:41,,
1587870996131979264,"@basedkarbon could be closing a short, thought, too!",https://x.com/SBF_FTX/status/1587870996131979264,tweet,SBF,@SBF_FTX,4,2,1,39,-,0,2022-11-02 23:45:21,,
1587853333687144448,"USE WITH CAUTION

currently only visible if you toggle on Beta UI https://t.co/lLjWDi4uSQ",https://x.com/SBF_FTX/status/1587853333687144448,tweet,SBF,@SBF_FTX,99,39,10,350,-,2,2022-11-02 22:35:10,https://pbs.twimg.com/media/FgkwLUWWYAAC1oM.jpg,
1587807351339376646,@greg16676935420 @Twitter @elonmusk answer key: choose answer #1,https://x.com/SBF_FTX/status/1587807351339376646,tweet,SBF,@SBF_FTX,10,0,0,36,-,0,2022-11-02 19:32:27,,
1587807319282286592,@greg16676935420 @Twitter @elonmusk I don't know for sure what the entrance exam is for it but here's a study guide @greg16676935420,https://x.com/SBF_FTX/status/1587807319282286592,tweet,SBF,@SBF_FTX,22,3,4,64,-,0,2022-11-02 19:32:19,,
1587806264641347585,@Clintchimera working on ADA!  It's a new blockchain which takes some time to implement but we'll be there soon,https://x.com/SBF_FTX/status/1587806264641347585,tweet,SBF,@SBF_FTX,194,61,22,399,-,4,2022-11-02 19:28:08,,
1587803952065781760,I'm planning to be there!,https://x.com/SBF_FTX/status/1587803952065781760,tweet,SBF,@SBF_FTX,46,7,11,186,-,1,2022-11-02 19:18:56,,
1587803560527421441,"The world wants to know:

@greg16676935420 would _you_ join the @Twitter board if @elonmusk asked?",https://x.com/SBF_FTX/status/1587803560527421441,tweet,SBF,@SBF_FTX,181,16,44,1265,-,9,2022-11-02 19:17:23,,
1587580433440669702,@AutismCapital 🧠🧠🧠,https://x.com/SBF_FTX/status/1587580433440669702,tweet,SBF,@SBF_FTX,7,0,0,40,-,0,2022-11-02 04:30:45,,
